word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
chicken,/ˈtʃɪk.ɪn/,鸡 ,B1,A male chicken is called a cock and a female chicken is called a hen.,noun,"a type of bird kept on a farm for its eggs or its meat, or the meat of this bird that is cooked and eaten:",,
capture,/ˈkæp.tʃər/,捕获 ,B1,Two of the soldiers were killed and the rest were captured.,"verb, noun","to take someone as a prisoner, or to take something into your possession, especially by force:",,
chief,/tʃiːf/,首席 ,B1,The chief problem we have in the area now is the spread of disease.,"adjective, noun",most important or main:,,
car,/kɑːr/,车 ,B1,They don't have a car.,noun,"a road vehicle with an engine, four wheels, and seats for a small number of people:",,
carefully,/ˈkeə.fəl.i/,小心 ,B1,She carefully folded the letter and put it in her pocket.,adverb,with great attention:,,
care,/keər/,关心 ,B1,The standard of care at our local hospital is excellent.,"noun, verb",the process of protecting someone or something and providing what that person or thing needs:,,
career,/kəˈrɪər/,职业 ,B1,It helps if you can move a few rungs up the career ladder before taking time off to have a baby.,noun,"the job or series of jobs that you do during your working life, especially if you continue to get better jobs and earn more money:",,
card,/kɑːd/,卡片,B1,I don't have any cash - can I put this on (= pay using) my card?,noun,"a small, rectangular piece of card or plastic, often with your signature, photograph, or other information proving who you are, that allows you to do something, such as make a payment, get money from a bank, or enter a particular place:",,
careless,/ˈkeə.ləs/,粗心 ,B1,My son's teacher says that his work is often rather careless.,adjective,not taking or showing enough care and attention:,carefree,careful
carrot,/ˈkær.ət/,胡萝卜 ,B1,"If they finished the construction ahead of schedule, they were offered the carrot of a bonus.",noun,a long pointed orange root eaten as a vegetable,,
carpet,/ˈkɑː.pɪt/,地毯,B1,We've just had a new carpet fitted/laid in our bedroom.,noun,(a shaped piece of) thick material used for covering floors:,,
careful,/ˈkeə.fəl/,小心,B1,Michael is a very careful worker.,adjective,"giving a lot of attention to what you are doing so that you do not have an accident, make a mistake, or damage something:",,careless
case,/keɪs/,案件 ,B1,She was suffering from an extreme case of sunburn.,noun,a particular situation or example of something:,suitcase,
cash,/kæʃ/,现金 ,B1,Will you pay by credit card or in cash?,noun,money in the form of notes and coins:,,
cartoon,/kɑːˈtuːn/,卡通片,B1,The TV shows kids' cartoons on Saturday mornings.,noun,"a drawing, especially in a newspaper or magazine, that tells a joke or makes a humorous political criticism",,
cast,/kɑːst/,投掷,B1,The play's cast of characters is on the second page of the programme.,"noun, verb","the actors in a film, play, or show:",,
carry,/ˈkær.i/,携带 ,B1,Would you like me to carry your bag for you?,verb,"to hold something or someone with your hands, arms, or on your back and transport it, him, or her from one place to another:",,
classic,/ˈklæs.ɪk/,经典的 ,B1,"Fielding's classic novel ""Tom Jones""","adjective, noun",having a high quality or standard against which other things are judged:,,
class,/klɑːs/,班级 ,B1,Which class are you in this year?,noun,"a group of students who are taught together at school, college, or university:",sort,
classical,/ˈklæs.ɪ.kəl/,古典,B1,Does she study classical ballet or modern ballet?,adjective,"traditional in style or form, or based on methods developed over a long period of time, and considered to be of lasting value:",,
classroom,/ˈklɑːs.ruːm/,课堂 ,B1,Students learning computer studies spend two days each week in a computer lab and four days in the classroom.,noun,a room in a school or college where groups of students are taught,,
clever,/ˈklev.ər/,聪明的,B1,"Judy has never been very clever, but she tries hard.",adjective,having or showing the ability to learn and understand things quickly and easily:,,
clause,/klɔːz/,条款 ,B1,They have added a clause in the contract which says the company can make people redundant for economic reasons.,noun,"a particular part of a written legal document, for example a law passed by Parliament or a contract (= an agreement):",,
clean,/kliːn/,干净的,B1,a clean white shirt,"adjective, verb","free from any dirty marks, pollution, bacteria, etc.:",,
clearly,/ˈklɪə.li/,清楚地 ,B1,The accident was clearly the lorry driver's fault.,adverb,"in a way that is easy to see, hear, read, or understand",,
click,/klɪk/,点击 ,B1,"If you want to open a file, click twice on the icon for it.","verb, noun",to carry out a computer operation by pressing a button on the mouse or keyboard:,,
client,/ˈklaɪ.ənt/,客户 ,B1,Mr Black has been a client of this firm for many years.,noun,a customer or someone who receives services:,,
climate,/ˈklaɪ.mət/,气候,B1,a hot/dry/harsh climate,noun,the general weather conditions usually found in a particular place:,,
climb,/klaɪm/,爬 ,B1,"The plane climbed quickly to a height of 30,000 feet.",verb,"to go up, or to go towards the top of something:",,
clock,/klɒk/,钟 1 ,B1,We have an antique clock on our mantelpiece.,noun,"a device for measuring and showing time, usually found in or on a building and not worn by a person:",,
clear,/klɪər/,清除 ,B1,clear instructions/directions,adjective,"easy to understand, hear, read, or see:",,
2,/ˌtuːˈtuː/,2 ,B1,This is an example sentence using the word '2'.,adjective,a degree qualification from a British university that is below a 2:1 and above a third,,
closed,/kləʊzd/,关闭 ,B1,It might be less draughty if the door were closed.,adjective,not open:,,
closely,/ˈkləʊs.li/,密切,B1,English and German are closely related.,adverb,in a way that is directly connected or has a strong relationship:,,
clothes,/kləʊðz/,衣服 ,B1,She usually wears smart clothes.,noun,"things such as dresses and trousers that you wear to cover, protect, or decorate your body:",,
cloth,/klɒθ/,布 ,B1,a piece/length of cloth,noun,(a type of) woven material:,,
clothing,/ˈkləʊ.ðɪŋ/,衣服,B1,You can only take three articles of clothing into the changing room.,noun,"clothes, especially clothes of a particular type or those worn in a particular situation:",,
cloud,/klaʊd/,云 ,B1,Do you think those are rain clouds on the horizon?,noun,"a grey or white mass in the sky, made up of very small floating drops of water:",,
clue,/kluː/,线索,B1,Police are still looking for clues in their search for the missing girl.,noun,"a sign or some information that helps you to find the answer to a problem, question, or mystery:",,
coal,/kəʊl/,煤炭 ,B1,How much coal was mined here?,noun,"a hard, black substance that is dug from the earth in pieces, and can be burned to produce heat or power, or a single piece of this:",,
club,/klʌb/,俱乐部 ,B1,I've just joined the local golf/squash/tennis club.,noun,"an organization of people with a common purpose or interest, who meet regularly and take part in shared activities:",clubhouse,
coach,/kəʊtʃ/,教练 ,B1,a tennis/maths coach,noun,"someone whose job is to teach people to improve at a sport, skill, or school subject:",,
coat,/kəʊt/,外套 ,B1,"Do your coat up, Joe, or you'll freeze.",noun,"an outer piece of clothing with sleeves that is worn over other clothes, usually for warmth:",,
coast,/kəʊst/,海岸,B1,Rimini is a thriving resort on the east coast of Italy.,noun,the land next to or close to the sea:,,
coffee,/ˈkɒf.i/,咖啡,B1,decaffeinated coffee,noun,a dark brown powder with a strong flavour and smell that is made by crushing dark beans from a tropical bush and used to make a drink:,,
code,/kəʊd/,代码 ,B1,The message was written in code.,noun,"a system of words, letters, or signs used to represent a message in secret form, or a system of numbers, letters, or signals used to represent something in a shorter or more convenient form:",,
command,/kəˈmɑːnd/,命令 ,B1,You will run forward at (= when you hear) my command.,"noun, verb","an order, especially one given by a soldier:",,
comfortable,/ˈkʌm.fə.tə.bəl/,舒服的 ,B1,a comfortable bed/sofa,adjective,Comfortable furniture and clothes provide a pleasant feeling and do not give you any physical problems:,,
commercial,/kəˈmɜː.ʃəl/,商业的 ,B1,a commercial organization/venture/success,"adjective, noun",related to making money by buying and selling things:,,
comment,/ˈkɒm.ent/,评论,B1,"I don't want any comments on my new haircut, thank you!",noun,something that you say or write that expresses your opinion:,,
commission,/kəˈmɪʃ.ən/,委员会 ,B1,The newspaper commissioned a series of articles on the worst excesses of the fashion industry.,"noun, verb","to formally choose someone to do a special piece of work, or to formally ask for a special piece of work from someone:",,
commit,/kəˈmɪt/,犯罪,B1,He was sent to prison for a crime that he didn't commit.,verb,to do something illegal or something that is considered wrong:,,
committee,/kəˈmɪt.i/,委员会 ,B1,She sits on/is on the school's development committee.,noun,a small group of people chosen to represent a larger organization and either make decisions or collect information for it:,,
commitment,/kəˈmɪt.mənt/,承诺 ,B1,Players must make a commitment to play for a full season.,noun,a promise or firm decision to do something:,,
commonly,/ˈkɒm.ən.li/,通常 ,B1,Elbow injuries are commonly found among tennis players.,adverb,often or usually:,,
common,/ˈkɒm.ən/,常见的,B1,It's quite common to see couples who dress alike.,"adjective, noun",the same in a lot of places or for a lot of people:,,
communicate,/kəˈmjuː.nɪ.keɪt/,交流 ,B1,We can now communicate instantly with people on the other side of the world.,verb,"to share information with others by speaking, writing, moving your body, or using other signals:",,
communication,/kəˌmjuː.nɪˈkeɪ.ʃən/,沟通,B1,Television is an increasingly important means of communication.,noun,the act of communicating with people:,,
compare,/kəmˈpeər/,比较,B1,"If you compare house prices in the two areas, it's quite amazing how different they are.",verb,to examine or look for the difference between two or more things:,,
community,/kəˈmjuː.nə.ti/,社区 ,B1,He's well known in the local community.,noun,"the people living in one particular area or people who are considered as a unit because of their common interests, social group, or nationality:",,
coin,/kɔɪn/,硬币 ,B1,a 10p/ten pence coin,noun,"a small, round piece of metal, usually silver or copper coloured, that is used as money:",,
company,/ˈkʌm.pə.ni/,公司 ,B1,He works for a software company/a company that makes software.,noun,an organization that sells goods or services in order to make money:,,
cold,/kəʊld/,寒冷的 ,B1,a cold day/house,"adjective, noun","at a low temperature, especially when compared to the temperature of the human body, and not hot, or warm:",,
colleague,/ˈkɒl.iːɡ/,同事 ,B1,We're entertaining some colleagues of Carol's tonight.,noun,one of a group of people who work together:,co-worker,
collapse,/kəˈlæps/,坍塌,B1,Thousands of buildings collapsed in the earthquake.,"verb, noun",to fall down suddenly because of pressure or having no strength or support:,,
collect,/kəˈlekt/,收集 ,B1,She collects dolls.,verb,to get and keep things of one type such as stamps or coins as a hobby:,,
collection,/kəˈlek.ʃən/,收藏,B1,a private art collection,noun,a group of objects of one type that have been collected by one person or in one place:,,
college,/ˈkɒl.ɪdʒ/,大学 ,B1,I met my husband when we were in college.,noun,"a university, especially one where you study for an undergraduate (= first) degree:",,
coloured,/ˈkʌl.əd/,有色,B1,coloured lights/pencils,adjective,having or producing a colour or colours:,,
colour,/ˈkʌl.ər/,颜色 ,B1,What's your favourite colour?,noun,"red, blue, green, yellow, etc.:",,
column,/ˈkɒl.əm/,柱子 ,B1,I didn't have time to read the whole article - just the first column.,noun,one of several vertical blocks of print into which a page of a newspaper or magazine is divided:,,
combination,/ˌkɒm.bɪˈneɪ.ʃən/,组合 ,B1,Strawberries and cream - a perfect combination.,noun,the mixture you get when two or more things are combined:,,
combine,/kəmˈbaɪn/,结合,B1,None of us has much money so let's combine what we've got.,verb,"to (cause to) exist together, or join together to make a single thing or group:",,
comedy,/ˈkɒm.ə.di/,喜剧 ,B1,"His latest movie is described as a ""romantic comedy"".",noun,"a (type of) film, play, or book that is intentionally funny either in its characters or its action:",,
compete,/kəmˈpiːt/,竞争 ,B1,It's difficult for a small shop to compete against the big supermarkets.,verb,to try to be more successful than someone or something else:,,
comparison,/kəmˈpær.ɪ.sən/,比较 ,B1,They made a comparison of different countries' eating habits.,noun,the act of comparing two or more people or things:,,
competition,/ˌkɒm.pəˈtɪʃ.ən/,竞赛,B1,Competition for jobs is intense.,noun,a situation in which someone is trying to win something or be more successful than someone else:,,
competitive,/kəmˈpet.ɪ.tɪv/,竞争的 ,B1,We have to invest in new technology if we are to remain competitive.,adjective,involving competition:,,
comfort,/ˈkʌm.fət/,舒适,B1,She evidently dresses for comfort.,"noun, verb",a pleasant feeling of being relaxed and free from pain:,,
competitor,/kəmˈpet.ɪ.tər/,竞争者 ,B1,Their prices are better than any of their competitors.,noun,"a person, team, or company that is competing against others:",,
complain,/kəmˈpleɪn/,抱怨,B1,Lots of people have complained about the noise.,verb,to say that something is wrong or not satisfactory:,,
complaint,/kəmˈpleɪnt/,抱怨 ,B1,We've received a complaint from one of our listeners about offensive language.,noun,a statement that something is wrong or not satisfactory:,,
completely,/kəmˈpliːt.li/,完全地,B1,I agree with you completely.,adverb,in every way or as much as possible:,,
complicated,/ˈkɒm.plɪ.keɪ.tɪd/,复杂的 ,B1,complicated instructions,adjective,"involving a lot of different parts, in a way that is difficult to understand:",,
computer,/kəmˈpjuː.tər/,电脑 ,B1,a personal/home computer,noun,"an electronic machine that is used for storing, organizing, and finding words, numbers, and pictures, for doing calculations, and for controlling other machines:",,
complex,/ˈkɒm.pleks/,复杂的 ,B1,a complex molecule/carbohydrate,adjective,involving a lot of different but related parts:,,
component,/kəmˈpəʊ.nənt/,成分,B1,television/aircraft/computer components,noun,a part that combines with other parts to form something bigger:,,
come,/kʌm/,来 ,B1,Are you coming with me?,verb,to move or travel towards the speaker or with the speaker:,,
concept,/ˈkɒn.sept/,概念 ,B1,The concept of free speech is unknown to them.,noun,a principle or idea:,,
concentration,/ˌkɒn.sənˈtreɪ.ʃən/,专注,B1,The noise outside made concentration difficult.,noun,the ability to think carefully about something you are doing and nothing else:,,
concentrate,/ˈkɒn.sən.treɪt/,集中 ,B1,"Come on, concentrate! We don't have all day to do this.",verb,"to direct your attention or your efforts towards a particular activity, subject, or problem:",,
complete,/kəmˈpliːt/,完全的 ,B1,Complete the sentence with one of the adjectives provided.,"adjective, verb",to make whole or perfect:,,
concern,/kənˈsɜːn/,忧虑 ,B1,The state of my father's health concerns us greatly.,"noun, verb",to cause worry to someone:,,
concerned,/kənˈsɜːnd/,担心的,B1,I'm a bit concerned about/for your health.,adjective,worried:,,
conclusion,/kənˈkluː.ʒən/,结论,B1,Be careful not to introduce new ideas in the conclusion of your essay.,noun,the final part of something:,,
conclude,/kənˈkluːd/,总结 ,B1,She concluded the speech by reminding us of our responsibility.,verb,"to end a speech, meeting, or piece of writing:",,
concert,/ˈkɒn.sət/,音乐会 ,B1,a pop/classical concert,noun,a performance of music by one or more musicians or singers:,,
condition,/kənˈdɪʃ.ən/,状况 ,B1,"Mum's still got our pram - it's very old, but it's in perfect condition.",noun,the particular state that something or someone is in:,,
conduct,/kənˈdʌkt/,执行 ,B1,We are conducting a survey to find out what our customers think of their local bus service.,"verb, noun",to organize and perform a particular activity:,,
confident,/ˈkɒn.fɪ.dənt/,自信的 ,B1,Be a bit more confident in yourself!,adjective,"being certain of your abilities or having trust in people, plans, or the future:",,
confidence,/ˈkɒn.fɪ.dəns/,信心 ,B1,He has the confidence to walk into a room of strangers and immediately start a conversation.,noun,"the quality of being certain of your abilities or of having trust in people, plans, or the future:",,
conference,/ˈkɒn.fər.əns/,会议,B1,a conference on women's rights,noun,"an event, sometimes lasting a few days, at which there is a group of talks on a particular subject, or a meeting in which especially business matters are discussed formally:",,
confirm,/kənˈfɜːm/,确认,B1,Six people have confirmed that they will be attending and ten haven't replied yet.,verb,"to make an arrangement or meeting certain, often by phone or writing:",,
confused,/kənˈfjuːzd/,使困惑,B1,"Grandpa gets pretty confused sometimes, and doesn't even know what day it is.",adjective,unable to think clearly or to understand something:,,
confuse,/kənˈfjuːz/,迷惑 ,B1,You're confusing him! Tell him slowly and one thing at a time.,verb,"to mix up someone's mind or ideas, or to make something difficult to understand:",,
conflict,/ˈkɒn.flɪkt/,冲突 ,B1,There was a lot of conflict between him and his father.,"noun, verb",an active disagreement between people with opposing opinions or principles:,,
confusing,/kənˈfjuː.zɪŋ/,令人困惑 ,B1,"We have two people called Paul James working here, so it's a bit confusing!",adjective,Something that is confusing makes you feel confused because it is difficult to understand:,,
connected,/kəˈnek.tɪd/,连接,B1,The TV won't work if the cable's not connected.,adjective,"(of wires, pipes, devices, etc.) joined together:",,
connect,/kəˈnekt/,连接 ,B1,Can I connect my printer to your computer?,verb,to join or be joined with something else:,,
conscious,/ˈkɒn.ʃəs/,有意识的 ,B1,"My tooth doesn't exactly hurt, but I'm conscious of it (= I can feel it) all the time.",adjective,to notice that a particular thing or person exists or is present:,,
consequence,/ˈkɒn.sɪ.kwəns/,结果,B1,Not making a will can have serious consequences for your children and other family members.,noun,"a result of a particular action or situation, often one that is bad or not convenient:",,
connection,/kəˈnek.ʃən/,联系 ,B1,The connection between smoking and heart disease is well known.,noun,the state of being related to someone or something else:,,
conservative,/kənˈsɜː.və.tɪv/,保守的 ,B1,a conservative society/outlook,"adjective, noun","not usually liking or trusting change, especially sudden change:",,
consider,/kənˈsɪd.ər/,考虑 ,B1,Don't make any decisions before you've considered the situation.,verb,to spend time thinking about a possibility or making a decision:,,
consideration,/kənˌsɪd.əˈreɪ.ʃən/,考虑,B1,"After some consideration, we've decided to sell the house.",noun,the act of thinking about something carefully:,,
consist,/kənˈsɪst/,组成 ,B1,The beauty of air travel consists in its speed and ease.,verb,to have something as a main and necessary part or quality:,,
constantly,/ˈkɒn.stənt.li/,不断地 ,B1,She has the TV on constantly.,adverb,all the time or often:,invariably,
consistent,/kənˈsɪs.tənt/,持续的 ,B1,There has been a consistent improvement in her attitude.,adjective,"always behaving or happening in a similar, especially positive, way:",,
construct,/kənˈstrʌkt/,构造 ,B1,to construct a new bridge/building,verb,to build something or put together different parts to form something whole:,,
constant,/ˈkɒn.stənt/,持续的,B1,He's in constant trouble with the police.,adjective,happening a lot or all the time:,,
construction,/kənˈstrʌk.ʃən/,建造,B1,She works in construction.,noun,"the work of building or making something, especially buildings, bridges, etc.:",,
consume,/kənˈsjuːm/,消耗 ,B1,Our high living standards cause our current population to consume 25 percent of the world's oil.,verb,"to use fuel, energy, time, or a product, especially in large amounts:",,
consumer,/kənˈsjuː.mər/,消费者 ,B1,"The new rates will affect all consumers, including businesses.",noun,a person who buys goods or services for their own use:,,
contain,/kənˈteɪn/,包含 ,B1,How much liquid do you think this bottle contains?,verb,to have something inside or include something as a part:,,
container,/kənˈteɪ.nər/,容器 ,B1,an airtight container,noun,"a hollow object, such as a box or a bottle, that can be used for holding something, especially to carry or store it:",,
contemporary,/kənˈtem.pər.ər.i/,当代的,B1,contemporary music/literature/art/fashion,adjective,"existing or happening now, and therefore seeming modern:",,
contact,/ˈkɒn.tækt/,接触,B1,"""Have you been in contact with Andrew recently?"" ""Only by phone.""","noun, verb","communication with someone, especially by speaking or writing to them regularly:",,
1,/ˌtuːˈwʌn/,1 ,B1,This is an example sentence using the word '1'.,noun,a degree qualification from a British university that is below a first and above a 2:2,,
context,/ˈkɒn.tekst/,语境,B1,It is important to see all the fighting and bloodshed in his plays in historical context.,noun,"the situation within which something exists or happens, and that can help explain it:",,
contest,/ˈkɒn.test/,竞赛 ,B1,a dance/sports contest,"noun, verb","a competition to do better than other people, usually in which prizes are given:",,
continent,/ˈkɒn.tɪ.nənt/,大陆 ,B1,the North American continent,noun,"one of the seven large land masses on the earth's surface, surrounded, or mainly surrounded, by sea and usually consisting of various countries:",,
continue,/kənˈtɪn.juː/,继续 ,B1,It's said that as the boat went down the band continued to play.,verb,"to keep happening, existing, or doing something, or to cause something or someone to do this:",,
contribute,/kənˈtrɪb.juːt/,贡献,B1,Aren't you going to contribute towards Jack's leaving present?,verb,"to give something, especially money, in order to provide or achieve something together with other people:",,
contrast,/ˈkɒn.trɑːst/,对比 ,B1,I like the contrast of the white trousers with the black jacket.,"noun, verb",an obvious difference between two or more things:,,
contract,/ˈkɒn.trækt/,合同 ,B1,a contract of employment,"noun, verb","a legal document that states and explains a formal agreement between two different people or groups, or the agreement itself:",,
continuous,/kənˈtɪn.ju.əs/,连续的,B1,She is in continuous pain.,adjective,without a pause or interruption:,progressive,
contribution,/ˌkɒn.trɪˈbjuː.ʃən/,贡献 ,B1,"All contributions (= presents of money), no matter how small, will be much appreciated.",noun,"something that you contribute or do to help produce or achieve something together with other people, or to help make something successful:",,
control,/kənˈtrəʊl/,控制 ,B1,"If you can't control your dog, put it on a lead!","noun, verb","to order, limit, or rule something, or someone's actions or behaviour:",,
conversation,/ˌkɒn.vəˈseɪ.ʃən/,对话 ,B1,She had a strange conversation with the man who moved in upstairs.,noun,"(a) talk between two or more people in which thoughts, feelings, and ideas are expressed, questions are asked and answered, or news and information is exchanged:",,
convenient,/kənˈviː.ni.ənt/,方便的,B1,Our local shop has very convenient opening hours.,adjective,suitable for your purposes and needs and causing the least difficulty:,,
convinced,/kənˈvɪnst/,说服了 ,B1,"My boyfriend says I'd like going on a camping trip, but I'm not convinced.",adjective,certain:,,
convince,/kənˈvɪns/,说服,B1,He managed to convince the jury of his innocence.,verb,to persuade someone or make someone certain:,,
convert,/kənˈvɜːt/,转变 ,B1,Could we convert the small bedroom into a second bathroom?,verb,"to change in form or character, or to make it or them do this:",,
cooker,/ˈkʊk.ər/,炊具,B1,a gas/electric cooker,noun,"a large box-shaped device that is used to cook and heat food, either by putting the food inside or by putting it on the top:",,
cook,/kʊk/,厨师 ,B1,I don't cook meat very often.,verb,"When you cook food, you prepare it to be eaten by heating it in a particular way, such as baking or boiling, and when food cooks, it is heated until it is ready to eat:",,
cooking,/ˈkʊk.ɪŋ/,烹饪 ,B1,My mother always hated cooking.,noun,the activity of preparing or cooking food:,cookery,
core,/kɔːr/,核 ,B1,The lack of government funding is at the core of the problem.,"noun, adjective",the basic and most important part of something:,,
cool,/kuːl/,凉爽的 ,B1,cool water,adjective,slightly cold:,,
correctly,/kəˈrekt.li/,正确 ,B1,Have I pronounced your name correctly?,adverb,in a way that is in agreement with the true facts or with what is generally accepted:,,
copy,/ˈkɒp.i/,复制,B1,They've copied the basic design from the Japanese model and added a few of their own refinements.,"noun, verb",to intentionally make or do something that is the same as an original piece of work:,,
corner,/ˈkɔː.nər/,角落 ,B1,You go around corners too fast when you're driving!,noun,"the point, area, or line that is formed by the meeting of two lines, surfaces, roads, etc.:",,
corporate,/ˈkɔː.pər.ət/,公司的,B1,corporate finance,adjective,relating to a large company:,,
correct,/kəˈrekt/,正确的 ,B1,a correct answer,"adjective, verb",in agreement with the true facts or with what is generally accepted:,right (CORRECT),
cottage,/ˈkɒt.ɪdʒ/,小屋 ,B1,"They live in an idyllic country cottage, with roses around the door.",noun,"a small, simple house, typically in the countryside:",,
modal,/ˈməʊ.dəl/,模态 ,B1,The first verb in the following sentence is a modal: We ought to pay the gas bill.,verb,"a verb, such as ""can"", ""might"", and ""must"", that is used with another verb to express an idea such as possibility that is not expressed by the main verb of a sentence:",,
cost,/kɒst/,成本,B1,"When you buy a new computer, you usually get software included at no extra cost.","noun, verb","the amount of money needed to buy, do, or make something:",,
cotton,/ˈkɒt.ən/,棉布,B1,a bale of cotton,noun,"the threads that grow around the seeds of a tall plant grown especially in the US, China, and South Asia:",,
costume,/ˈkɒs.tʃuːm/,戏服 ,B1,Elizabethan/Edwardian/Victorian costume,noun,the set of clothes typical of a particular country or period of history:,,
council,/ˈkaʊn.səl/,理事会 ,B1,the United Nations Security Council,noun,"a group of people elected or chosen to make decisions or give advice on a particular subject, to represent a particular group of people, or to run a particular organization:",,
country,/ˈkʌn.tri/,国家 ,B1,What is the largest country in Europe?,noun,"an area of land that has its own government, army, etc.:",,
count,/kaʊnt/,数数,B1,The teachers counted the students as they got on to the bus.,verb,"to say numbers one after the other in order, or to calculate the number of people or things in a group:",matter,
countryside,/ˈkʌn.tri.saɪd/,农村 ,B1,The countryside around there is beautiful.,noun,"land not in towns, cities, or industrial areas, that is either used for farming or left in its natural condition:",,
courage,/ˈkʌr.ɪdʒ/,勇气 ,B1,They showed great courage when they found out about their baby's disability.,noun,the ability to control your fear in a dangerous or difficult situation:,bravery,
county,/ˈkaʊn.ti/,县,B1,County Antrim,noun,"a political division of the UK or Ireland, forming the largest unit of local government, or the largest political division of a state in the US:",,
couple,/ˈkʌp.əl/,夫妻 ,B1,The doctor said my leg should be better in a couple of days.,noun,"two or a few things that are similar or the same, or two or a few people who are in some way connected:",,
cousin,/ˈkʌz.ən/,表哥 ,B1,"My brother's wife and I both had babies around the same time, so the cousins are very close in age.",noun,"a child of a person's aunt or uncle, or, more generally, a distant (= not close) relation:",,
court,/kɔːt/,法庭 ,B1,Protestors gathered outside the court to await the verdict.,noun,"a place where trials and other legal cases happen, or the people present in such a place, especially the officials and those deciding if someone is guilty:",,
course,/kɔːs/,课程,B1,They're going away on a training course next week.,noun,"a set of classes or a plan of study on a particular subject, usually leading to an exam or qualification:",,
covered,/ˈkʌv.əd/,覆盖 ,B1,The airport buildings are linked by covered walkways.,adjective,"past simple and past participle of 
cover",,
cover,/ˈkʌv.ər/,覆盖,B1,The light was so bright that I had to cover my eyes.,verb,"to put or spread something over something, or to lie on the surface of something:",insurance,
cow,/kaʊ/,奶牛 ,B1,We had several chickens and a dairy cow on our farm.,noun,a large female farm animal kept to produce meat and milk:,,
crazy,/ˈkreɪ.zi/,疯狂的 ,B1,It's a crazy idea.,adjective,stupid or not reasonable:,,
cream,/kriːm/,奶油 ,B1,strawberries and cream,noun,"the thick, yellowish-white liquid that forms on the top of milk:",,
crash,/kræʃ/,碰撞,B1,We skidded on the ice and crashed.,"noun, verb","If a vehicle crashes or someone crashes it, it is involved in an accident, usually a serious one in which the vehicle is damaged and someone is hurt:",,
create,/kriˈeɪt/,创造,B1,"Charles Schulz created the characters ""Snoopy"" and ""Charlie Brown"".",verb,"to make something new, or invent something:",,
creation,/kriˈeɪ.ʃən/,创建 ,B1,the creation of a new political party,noun,"the act of creating something, or the thing that is created:",,
creative,/kriˈeɪ.tɪv/,有创造力的 ,B1,a creative person/artist/designer/programmer,adjective,producing or using original and unusual ideas:,,
creature,/ˈkriː.tʃər/,生物,B1,Rainforests are filled with amazing creatures.,noun,any large or small living thing that can move independently:,,
credit,/ˈkred.ɪt/,信用 ,B1,She got no credit for solving the problem.,noun,"praise, approval, or honour:",academic credit,
crime,/kraɪm/,犯罪,B1,She promised to fight crime and reform government.,noun,illegal activities:,,
criminal,/ˈkrɪm.ɪ.nəl/,刑事 ,B1,a dangerous/violent criminal,noun,someone who commits a crime:,,
crisis,/ˈkraɪ.sɪs/,危机 ,B1,an economic/financial crisis,noun,"a time of great disagreement, confusion, or suffering:",,
criterion,/kraɪˈtɪə.ri.ən/,标准,B1,The Health Service should not be judged by financial criteria alone.,noun,"a standard by which you judge, decide about, or deal with something:",,
crew,/kruː/,全体人员 ,B1,an ambulance/a lifeboat crew,noun,"a group of people who work together, especially all those who work on and operate a ship, aircraft, etc.:",,
critic,/ˈkrɪt.ɪk/,评论家 ,B1,Her critics say she is leading the party to disaster.,noun,someone who says that they do not approve of someone or something:,,
critical,/ˈkrɪt.ɪ.kəl/,批判的 ,B1,a critical report,adjective,saying that someone or something is bad or wrong:,,
criticism,/ˈkrɪt.ɪ.sɪ.zəm/,批评,B1,There has been a lot of criticism of the decision.,noun,the act of saying that something or someone is bad or a comment that says what is bad about it:,,
criticize,/ˈkrɪt.ɪ.saɪz/,批评 ,B1,The government is being widely criticized in the media for failing to limit air pollution.,verb,to express disapproval of someone or something:,,
crowded,/ˈkraʊ.dɪd/,挤 ,B1,By ten o'clock the bar was crowded.,adjective,"If a place is crowded, it is full of people:",,
crowd,/kraʊd/,人群 ,B1,"A crowd of about 15,000 attended the concert.",noun,a large group of people who have come together:,,
crop,/krɒp/,庄稼 ,B1,The main crops grown for export are coffee and rice.,noun,"(the total amount collected of) a plant such as a grain, fruit, or vegetable grown in large amounts:",,
crucial,/ˈkruː.ʃəl/,至关重要的,B1,a crucial decision/question,adjective,extremely important or necessary:,,
cruel,/ˈkruː.əl/,残忍的 ,B1,Don't tease him about his weight - it's cruel.,adjective,(of a person or action) extremely unkind and unpleasant and causing pain to people or animals intentionally:,,
cross,/krɒs/,叉,B1,It's not a good place to cross the road.,"verb, noun",to go across from one side of something to the other:,,
cultural,/ˈkʌl.tʃər.əl/,文化,B1,The US is often accused of cultural imperialism.,adjective,"relating to the habits, traditions, and beliefs of a society:",,
culture,/ˈkʌl.tʃər/,文化 ,B1,She's studying modern Japanese language and culture.,noun,"the way of life, especially the general customs and beliefs, of a particular group of people at a particular time:",,
cry,/kraɪ/,哭 ,B1,I could hear someone crying in the next room.,verb,"to produce tears as the result of a strong emotion, such as unhappiness or pain:",,
cupboard,/ˈkʌb.əd/,橱柜,B1,a kitchen cupboard,noun,"a piece of furniture or a space for storing things, with a door or doors and usually with shelves:",,
cup,/kʌp/,杯子 ,B1,Would you like a cup of coffee?,noun,"a small, round container, often with a handle, used for drinking tea, coffee, etc., or the drink that it contains:",,
